0:00:00 :  okay start we've done the part right we've done the part already so Nancy
0:15:29.160000 :  And if not the teacher, please come to the general office. Some said we don't feel comfortable because the teacher is a male. Come to the general office. Come to see me. Because this is something, definitely something that should not be happening.
0:15:48.160000 :  There should be zero tolerance for this. There's no question about that.
0:15:54.160000 :  That's absolutely right. The other part of that that's, I think part of what makes it so upsetting for me to hear that and so frustrating to hear about something like that is that this is just an area of the culture in and around the department that it's very hard for us to get any kind of traction on.
0:16:12.160000 :  Because of course we're not invited to those opportunities and don't speak the local language. So when you describe a kind of boys locker room culture and mentality among students in the department, I'm asking myself, what can I do to change and to shape that?
0:16:33.160000 :  And that's really an open and ongoing question for me to ask. How will we create a change in that level of the culture? And in that you guys are our partners, right? You need to work together and figure out how we're going to make progress on issues like that.
0:16:50.160000 :  That's right. That's right. So communication between the student body and faculty is crucial when it comes to changing. Otherwise we don't even know about this, about the problems. So from the department side, I'm sure I speak for all colleagues.
0:17:09.160000 :  Everybody will be shocked by that. There are no colleagues that will say, no, you know what, it's okay. Definitely there are none who would say that.
0:17:19.160000 :  Yeah. But I just wanted to clarify more. I still do believe it's just several isolated cases. I would not believe that it is a common thing for students to say such sexist remarks. So yeah, I would not say it is the general situation is the norm.
0:17:47.160000 :  But I think it worth some notice. Right. So again, that's right. These things should not be tolerated.
0:17:59.160000 :  Some of our interviewees has, a number of our interviewees are pretty much ex-philosophy student and many of them are females. And one reason they have transferred into another program is that because they felt that they're not welcome in the department.
0:18:23.160000 :  Not welcomed, meaning that when they participate in classes, they participate in tutorials and discussions, they felt that because most time it was men who were doing the talking.
0:18:38.160000 :  And I guess it is a consequence of the, because most students are being male, so statistically more men is going to talk in discussion classes. But what this cost in them was that they felt that they're not, they're not a part of the lesson.
0:18:59.160000 :  They're just kind of like, I'll try to say audience or just a passerby who just happens to got into the classroom and sat down, but they're not the target audience of the lecture or something like that.
0:19:17.160000 :  And it was in situations like this that they felt like they're not welcomed and some of them have transferred into other departments where they felt that they belong more, belong there more.
0:19:41.160000 :  One of our interviewees even said after she exchanged in Netherlands, she found that she actually liked philosophy, but what she doesn't like is the CHK philosophy department, like the atmosphere makes her feel subtle discomfort.
0:20:02.160000 :  I would like to add that, just the quote has, the quote is actually quite remarkable for me, I thought it was quite remarkable. She said, now I finally discovered that what I dislike was not philosophy, but rather is the philosophy department. I found that actually quite remarkable.
0:20:24.160000 :  That's right, that's right.
0:20:25.160000 :  What do you think of this?
0:20:27.160000 :  This is definitely a serious problem that we have students both who are thinking so and who are also transferring out. It would be also helpful to know whether the sense of discomfort arises because of the relation between students and professors or in the relationship with other students.
0:20:52.160000 :  If there was more clarity on that, that would be actually helpful when it comes to seeing out the trust problem. But this is indeed a problem and the reason for that is that unfortunately now we don't have female faculty members.
0:21:09.160000 :  And that's something I also have to say that the department is working very hard to change. So these are discussions about that taking place all of this academic year. I would say there is no other topic that we are discussing in virtually every single board meeting, but this topic is always discussed.
0:21:32.160000 :  We are discussing the matter with the higher ups at the university with the approval we need to look for female colleagues. So I very much hope that that changes. It's not just the discussions, but we have time to take concrete lies. You cannot change it overnight.
0:21:55.160000 :  Now, when I arrived here 12 years ago, already 12 years ago, 2012, the Department of Philosophy had only male colleagues. In fact, when I think of that, I was the only white woman, both among the faculty and also among the students.
0:22:15.160000 :  So we have become much more international, you know, but then we were more local, more regional. And somehow, but when it comes to the gender issue, that hasn't changed. And it's, you know, I have to also say it's not easy to change. Why? Because we got ourselves into a problem.
0:22:39.160000 :  There are most definitely very qualified female candidates all around. Statistically, the number of them that submit applications, I double checked with some jobs, 10%.
0:22:53.160000 :  So you are, you know, comparing like, you know, if you receive say 100 applications, 10 female, you know, 90, to begin with, these are the applications. The department has extended an offer to a female colleague last year.
0:23:11.160000 :  A very good offer.
0:23:17.160000 :  A very good offer.
0:23:18.160000 :  An outstanding offer.
0:23:20.160000 :  This really went out of our way.
0:23:22.160000 :  Absolutely.
0:23:23.160000 :  We met a very female colleague. So we went above and beyond our normal procedures as we're continuing to do.
0:23:29.160000 :  That's right. No, no, no, no, no. It's a very important initiative. One of the things that we are, you know, trying to do is also capitalize on female visiting professors.
0:23:40.160000 :  So you probably have seen that there are many more female visiting professors in the department than ever before.
0:23:47.160000 :  You know, we had, we had, who did we have? Giovanna Colobetti in the fall semester of last academic year. We had Jessica Wilson as a Tanzanian visiting professor.
0:23:59.160000 :  We have Sanjom Park who is with us for a full year. We have Claudia Baracci who is coming in the fall semester.
0:24:09.160000 :  So that's already quite a few. But of course what we want is not just to limit ourselves to female, but also to visiting professors, but also to look for permanent colleagues.
0:24:23.160000 :  So yeah, the problem is old, still before the time when I arrived here. I cannot identify the reasons for it.
0:24:31.160000 :  I was surprised also to see in the draft of the article that some of the students were saying that the problem was much deeper in the early 2000s.
0:24:39.160000 :  That's before the time when I arrived and I have no clue. You know, this is all news to me.
0:24:44.160000 :  And of course, certainly I cannot. For this, we would need to speak for colleagues who have been around longer or to some emeritus professors who might be able to speak about these things.
0:25:01.160000 :  Because otherwise we know, I hate it, we would just be speculating at the wrong times that we're not here.
0:25:08.160000 :  Did you say that when you first came to CHK, all scholars are male and all students are male?
0:25:20.160000 :  No, no. I said I was the only Guaido.
0:25:23.160000 :  Guaido?
0:25:24.160000 :  Foreigner.
0:25:25.160000 :  Yeah, because everybody, all colleagues and all students were either from Hong Kong or from mainland.
0:25:37.160000 :  Maybe some from Taiwan, I cannot say. But otherwise it was much more regional than it is now.
0:25:47.160000 :  But we had the composition was also all male, of the faculty, not of the students of course.
0:25:54.160000 :  And some of the best students over the years were female students.
0:25:58.160000 :  And some of them are pursuing their post-graduate degrees. I can point to a few of them overseas at very good universities.
0:26:05.160000 :  Some of them have gone through the program and they have done some remarkable people.
0:26:11.160000 :  Maybe here I can also, I don't know what kind of set of interviews you're thinking of publishing.
0:26:19.160000 :  But my general sense is that if you want to get an overall view of what students think,
0:26:28.160000 :  it would be good to talk not only to undergraduate students but also to post-graduate students, also to ME students.
0:26:37.160000 :  That's one thing that I would say. Also I noticed that in the draft, one of the persons says that,
0:26:48.160000 :  I forget how the person puts it, let me take a look.
0:26:54.160000 :  Because I'm from mainland, I'm more familiar with the general station of mainland students in the department.
0:27:01.160000 :  Oh yes, this is my hold up.
0:27:03.160000 :  Okay, yeah. And I wonder, you know. So here it would be of course to have a representative view.
0:27:09.160000 :  It would be good to talk to students from mainland, to students from local students, to students from elsewhere to get a representative view.
0:27:16.160000 :  But besides that, I also wonder, and somebody else mentioned that to me, to what degree is this either also, let's say also,
0:27:27.160000 :  a problem of the tensions between Hong Kongers and mainlanders.
0:27:32.160000 :  Some people were telling me that these tensions, you know, quite likely, this is a more significant reason,
0:27:41.160000 :  but it's for you to know. I just mentioned all these different factors,
0:27:48.160000 :  so as to get a representative view of what the students think. If that's what you want to do.
0:27:57.160000 :  And we can follow up about the numbers concerning the composition of the PG research programs and the MA programs.
0:28:05.160000 :  How many female students percentage wise?
0:28:08.160000 :  I haven't checked that out. As far as undergraduate students, I found somewhere no here.
0:28:13.160000 :  So there are all in all 81 students, 33 female.
0:28:18.160000 :  81 students, 31 female.
0:28:22.160000 :  Is that majors in the undergraduate?
0:28:24.160000 :  No, current undergraduate program gender mix.
0:28:27.160000 :  So, you know, due to percentage actually, that's right.
0:28:30.160000 :  So it's actually larger than it may, statistically, in many universities.
0:28:36.160000 :  That's yeah, that's closer to 40, which is I think the last I saw where most of the US departments are at these days.
0:28:43.160000 :  That being said, you know, of course these numbers are changing. They're not static.
0:28:48.160000 :  The picture is not static. The number of female students is increasing for sure as it has been.
0:28:54.160000 :  And besides that, you know, I think if we finally have permanent female faculty members,
0:29:07.160000 :  this nation will change in important ways.
0:29:11.160000 :  You mentioned last year you've sent an offer to a female professor, but she didn't took the job.
0:29:20.160000 :  That's right.
0:29:21.160000 :  You said it was a generous offer.
0:29:24.160000 :  Yes, very generous. Sorry, I hope I did not say inappropriate.
0:29:28.160000 :  It was a sure thing.
0:29:29.160000 :  Let me put it this way. At that rank, no other colleague either now in the history of the program was offered what she was offered.
0:29:39.160000 :  It was very generous.
0:29:41.160000 :  What did you offer her?
0:29:43.160000 :  I cannot go into that when the journalist is too sensitive to go into the details, right?
0:29:47.160000 :  But it was, yeah, it came with a number of research funds, you know, but you know, these are, you know, usually.
0:29:57.160000 :  But in the end she declined the offer?
0:29:58.160000 :  She declined.
0:29:59.160000 :  Did she ever say why?
0:30:03.160000 :  There were some discussions.
0:30:05.160000 :  The reason was that she said she wanted to be hired at a higher rank.
0:30:12.160000 :  Now, this introduces very big problems at any department.
0:30:17.160000 :  If somebody is less accomplished as some other junior colleagues, but the person is offered a higher position,
0:30:24.160000 :  you imagine what kind of situation the department at great, you know, constant tensions.
0:30:30.160000 :  Where once a work is, one thinks my work is not being valued, you know, others have priority like this, you know, even though they had priority to begin with, you know, but it's not enough.
0:30:42.160000 :  So that was really, probably, even if we said yes, the university would not approve because simply that qualifications, you know, you go by the qualifications by experience.
0:30:53.160000 :  And on that basis, people are often this frank or that frank.
0:30:58.160000 :  So, so yeah, so we really couldn't do anything.
0:31:01.160000 :  It's, it's, she was asking for something that we'd never done before for anyone else, as far as I understand, that would have been really unprecedented after we'd already made a more generous offer than we had to anyone else.
0:31:12.160000 :  And what that might reflect is just how difficult it is for us to secure a quality female colleague, because in some ways she might be in a different position on the job market than other people.
0:31:26.160000 :  In that she feels like she has that kind of leverage to demand that much.
0:31:32.160000 :  Well, my hope is that, you know, if you come back for a chat in two years, that we'll also invite some, you know, prominent female colleagues to join the discussion.
0:31:43.160000 :  We're working incredibly hard on this.
0:31:45.160000 :  We're working very, very hard on this and we're pushing, pushing, pushing from every angle.
0:31:50.160000 :  This is a priority.
0:31:53.160000 :  Has the department been trying this hard to secure a female professor in the past?
0:32:00.160000 :  I would say it's a new thing.
0:32:01.160000 :  It didn't start just this academic year because as Professor Key mentioned, you know, we were extending it off for last year.
0:32:10.160000 :  But I would say it's a more recent phenomenon.
0:32:14.160000 :  Right.
0:32:17.160000 :  Yeah, you would have to speak with colleagues who've been here longer to know the deeper history of how the department has its current makeup.
0:32:26.160000 :  Yeah.
0:32:27.160000 :  We've talked about the, we've more or less vaguely talked about the gender issues within the department.
0:32:35.160000 :  But I would like to know from you, what, how would you see, what do you think the issue is exactly?
0:32:44.160000 :  So we can see if our understanding is different.
0:32:48.160000 :  Like what the issue is.
0:32:49.160000 :  Yeah, that's why I asked your colleague to send me a draft of the article because it was not clear to know what issue we're going to address.
0:32:57.160000 :  Yeah.
0:32:58.160000 :  Yeah.
0:32:59.160000 :  So some female students have come to talk to me about the general problem.
0:33:05.160000 :  So I was aware of that a number of female students don't feel comfortable, you know, in the department.
0:33:13.160000 :  And this, as I mentioned, this awareness is something that now the department definitely shares as a whole.
0:33:20.160000 :  And we are trying to see what we can do about that.
0:33:24.160000 :  Now, one thing that I would say is that, you know, I mentioned that since I came here, there have been only male faculty members.
0:33:34.160000 :  So you might think, why were there no female colleagues?
0:33:39.160000 :  Generally, I would definitely say, because over the years I got to know my colleagues, it was not intentional.
0:33:45.160000 :  It was not as though something, someone would say, you know what, let's not hire female colleagues.
0:33:52.160000 :  You know, that was not it.
0:33:53.160000 :  Priorities were elsewhere.
0:33:56.160000 :  People were thinking of other matters, you know, when hiring faculty members.
0:34:03.160000 :  And as I mentioned, because we were an all male department, we would get very few applications.
0:34:08.160000 :  You know, so we were in this problematic situation where if you are thinking about the matters, you know, it's very hard to fix the problem.
0:34:18.160000 :  One more thing that you mentioned in passing, I believe it was you, but maybe you mentioned that, about, you know, female students feeling uncomfortable.
0:34:29.160000 :  Because the discussions are mainly dominated by male students.
0:34:33.160000 :  And teacher.
0:34:34.160000 :  And teacher.
0:34:35.160000 :  Yes.
0:34:36.160000 :  Well, that they are dominated by teacher, that's understandable, I think, right?
0:34:40.160000 :  But, you know, you can explain if you think, you know, there is not enough space, you know, for a discussion.
0:34:50.160000 :  Unless that's what you have in mind.
0:34:52.160000 :  But of course, you know, within a class, the teachers would not be doing their job if they said, okay, you go ahead and talk.
0:34:59.160000 :  Right?
0:35:00.160000 :  You know, the discussions are very important because it's active learning.
0:35:03.160000 :  So the question is, how do you, how do you, you know, put everything together?
0:35:09.160000 :  Now, it's not the case, I would say.
0:35:12.160000 :  And correct me if you think otherwise.
0:35:15.160000 :  But this characterizes all philosophy classes.
0:35:18.160000 :  It's easy, actually, to give you a counterexample.
0:35:21.160000 :  The class that you took, you were one of the most active students.
0:35:25.160000 :  Which class?
0:35:27.160000 :  I'm thinking of the history of philosophy.
0:35:30.160000 :  Oh, I see.
0:35:31.160000 :  You were sitting in the front and you were definitely one of the most active students.
0:35:35.160000 :  But and only active female students?
0:35:40.160000 :  Well, I mean, there were, so proportionally, maybe you're right.
0:35:47.160000 :  But to say that, you know, it's dominated by male students is not entirely correct.
0:35:51.160000 :  Because now and again, you do have female students who are active.
0:35:58.160000 :  As I'm thinking of different classes, you know, well, that's the case.
0:36:03.160000 :  And as I mentioned, a number of female students who went through the CHK program,
0:36:08.160000 :  the undergraduate program, the M4 student, they were M4 students here.
0:36:12.160000 :  They went on to study philosophy elsewhere, which is not easy to do, to get into programs.
0:36:19.160000 :  Some of them were active and were very successful.
0:36:23.160000 :  There is something else also at Harvard.
0:36:28.160000 :  It's by far not always the case that those students who are most active are the smartest students
0:36:36.160000 :  or the students who end up getting the best grades.
0:36:39.160000 :  I would say for the most part, that's not the case.
0:36:44.160000 :  I remember that always when I arrived, there were more international students
0:36:47.160000 :  than in the general education program.
0:36:50.160000 :  And you had all the Western students that were, you know, very active.
0:36:54.160000 :  As soon as I asked a question, their hands up, you know.
0:36:57.160000 :  But the result was that actually they didn't do as well as many local students who were very diligent.
0:37:06.160000 :  You know, I remember when I was an undergraduate student, I had, you know,
0:37:10.160000 :  the professors used different language then.
0:37:13.160000 :  And my professors in Europe, in Lithuania, were full of irony.
0:37:18.160000 :  There was a lot of irony in Lithuania.
0:37:20.160000 :  And one professor used to say, in this class, we'll make a big exception.
0:37:25.160000 :  We will think before we talk.
0:37:28.160000 :  That was the idea that, you know, in philosophy, you need time to think matters through before you engage.
0:37:33.160000 :  So these are the two things that came to my mind when I was reading.
0:37:36.160000 :  I was surprised, you know, with this idea that the students are the most active students,
0:37:41.160000 :  those who speak most, presumably, you know, that can mean anything.
0:37:48.160000 :  I think they might be not.
0:37:49.160000 :  Yeah. But the issue we concern the most is the social life of the students.
0:37:57.160000 :  And I think it brought us to the favoritism part.
0:38:03.160000 :  I find it actually quite interesting that the atmosphere in the department encourages favoritism.
0:38:12.160000 :  So let's say you have a student who talks a lot in tutorial classes,
0:38:18.160000 :  who is rebutting everyone's arguments, and his peers will soon see this very vocal student
0:38:30.160000 :  as somebody who is more able in philosophy and perhaps is a very good student, a very smart student.
0:38:39.160000 :  And you start to admire him more.
0:38:43.160000 :  And we find that this actually is quite a common mentality that is in many philosophy students.
0:38:56.160000 :  So quantitative wise, those who spoke in tutorial classes are male.
0:39:03.160000 :  And I know some students, maybe like Yilun Han herself, who taught in tutorial,
0:39:09.160000 :  but quantitative wise, those who spoke more are male.
0:39:12.160000 :  So it causes the consequence of this was students tend to admire male students more
0:39:24.160000 :  and tend to admire female students less.
0:39:27.160000 :  And this has caused an issue to female students in their social lives.
0:39:32.160000 :  I can use an example.
0:39:36.160000 :  One of our interviewees were female students who was in a relationship with a high achiever in philosophy classes.
0:39:50.160000 :  A postgraduate student.
0:39:53.160000 :  Postgraduate students. Right.
0:39:56.160000 :  And people in her peers field are interviewing as a subordinate to her boyfriend,
0:40:13.160000 :  and not as an equal to her boyfriend.
0:40:17.160000 :  She felt very uncomfortable with the idea that her classmates seemed her as somebody, as nobody.
0:40:26.160000 :  Right.
0:40:27.160000 :  But after she got her PhD offer, those people who admire her boyfriend come to admire her,
0:40:35.160000 :  and it makes her feel sick.
0:40:38.160000 :  Right. Well, which the whole scenario speaks to the issue that I was just saying,
0:40:42.160000 :  I think that it's by far not always the case that those who speak most are the most brilliant students.
0:40:48.160000 :  Very often it's quite different.
0:40:51.160000 :  But in general, so that's just generally I would say, most definitely.
0:40:55.160000 :  I would say it about every class that I've taught.
0:40:59.160000 :  Very often you have students who will be much more quiet, but when you see they were, you cannot believe it.
0:41:09.160000 :  On one occasion I had to invite a student to talk to me because I was sure it was plagiarism,
0:41:13.160000 :  and later I found out it was not, because I started asking all the questions.
0:41:17.160000 :  I was really surprised because I had never heard the students speak.
0:41:22.160000 :  In general, you're right.
0:41:24.160000 :  Male students speak more, right, as I think now also of some of the best female students that I've had over the years,
0:41:33.160000 :  who I mentioned are doing so well, publishing in top journals in the field,
0:41:38.160000 :  while they are still students remarkably well, taking part in all the conferences and so on and so forth,
0:41:42.160000 :  learning different languages and impressing colleagues all around the world.
0:41:47.160000 :  Now that I think about it, yes, I had a similar experience.
0:41:50.160000 :  They were quite quiet, and then they would have to make a tutorial presentation.
0:41:54.160000 :  I just couldn't believe how good it was.
0:41:56.160000 :  It was a surprise.
0:41:58.160000 :  So maybe that also falls, you know, one of the interviewees was speaking of different quality traits of women and men.
0:42:10.160000 :  I don't know, I'm not a psychologist, but given this kind of dynamic we are discussing,
0:42:16.160000 :  maybe another quality trait is this manner too.
0:42:25.160000 :  I'm not sure.
0:42:26.160000 :  But in general, you know, there is, you know, okay, one of the things that it's good for us to hear these details
0:42:34.160000 :  because, you know, once we know them, we can start thinking how to address them, right,
0:42:39.160000 :  because if we don't know, we cannot address them.
0:42:41.160000 :  So as I mentioned with these, you know, really horrible comments, you know, so we had no idea, you know.
0:42:48.160000 :  But so one of the things that the department is planning to do is actually form a committee to deal with these very problems.
0:42:58.160000 :  To deal with what problems?
0:43:00.160000 :  To deal with gender-related issues.
0:43:04.160000 :  So we don't have an exact name for the committee yet because it's hard to form committees over the summer
0:43:09.160000 :  because colleagues are, you know, in various places, right?
0:43:12.160000 :  And as I mentioned, we are a democratic department and it needs to be approved by certain committees, you know.
0:43:17.160000 :  So these are all very good details for us to hear because these are the kind of details that the committee would look,
0:43:25.160000 :  think how to address people, students, right, you know.
0:43:29.160000 :  Yeah.
0:43:30.160000 :  The kind of inquiry that you guys are doing right now is in fact very much the kind that we will be conducting as well.
0:43:37.160000 :  In some respects.
0:43:38.160000 :  Absolutely.
0:43:39.160000 :  In this regard, that's why I say you guys are partners in this.
0:43:42.160000 :  The information that you held turned up is so invaluable for us because we really have the same goal of making things better for everyone in the department
0:43:51.160000 :  and improving the environment here.
0:43:53.160000 :  And we need to know these things before we can act on them and start to initiate change.
0:43:57.160000 :  You know, so what we would just to add to what Professor Kiwa was saying,
0:44:02.160000 :  what I would very much like to see is that when it comes to this ad hoc committee,
0:44:06.160000 :  that we also have some students, you know, both postgraduate and undergraduate, as part of this committee.
0:44:13.160000 :  The only way to address this problem is to work together.
0:44:17.160000 :  There is no other way because otherwise we don't, as you said, what is the problem?
0:44:21.160000 :  You know, well, I will know the problem, but it's the same problem if we talk about it.
0:44:25.160000 :  Otherwise, I don't know.
0:44:26.160000 :  Right.
0:44:27.160000 :  Yeah.
0:44:28.160000 :  I'm also aware that there's going to be some transition or turnover in the philosophy society.
0:44:34.160000 :  Maybe even a kind of dissolution and reconstruction of that.
0:44:37.160000 :  And that could be a really good moment of opportunity to think about changing the culture in the department
0:44:43.160000 :  and making sure that everyone has a stake and that their voice is being heard in constructing the kind of environment
0:44:49.160000 :  that is more representative of, you know, a 40% female student makeup.
0:44:56.160000 :  If that's, you know, that's the number of students we have.
0:44:59.160000 :  And even if it's not that number, we would want our female students to feel like their voices are heard,
0:45:04.160000 :  like the culture that's shaped here is one that they belong to as much as anyone else.
0:45:08.160000 :  Of course.
0:45:09.160000 :  Of course, yeah.
0:45:10.160000 :  Yeah, just also a very important point that you are making right now,
0:45:13.160000 :  just to add, if, you know, if this message could be passed on to the students that they should look for,
0:45:19.160000 :  you know, there will be meetings that will be held about the new philosophy society,
0:45:22.160000 :  because as you probably know, there is no philosophical society now.
